input,datamodel,fieldmapping,target
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
act,data_access,action,data_access:action
transaction,data_access,action,data_access:action
action,data_access,action,data_access:action
task,data_access,action,data_access:action
process,data_access,action,data_access:action
event,data_access,action,data_access:action
activity,data_access,action,data_access:action
job,data_access,action,data_access:action
operation,data_access,action,data_access:action
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
obj,data_access,object,data_access:object
entity,data_access,object,data_access:object
artifact,data_access,object,data_access:object
content,data_access,object,data_access:object
item,data_access,object,data_access:object
object,data_access,object,data_access:object
topic,data_access,object,data_access:object
target,data_access,object,data_access:object
unit,data_access,object,data_access:object
subject_entity,data_access,object,data_access:object
